#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         IonIon              ElecElec            KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3698346594e+04    5.6161293412e+08   -3.5611292063e+04    1.1912945469e+04   -2.1580683234e+04   -2.4874641995e+03   -1.5315087603e+04    3.7719429735e+03    2.7734323111e-02    2.2937600000e+05    5.3700031493e+01    2.6702944154e-01
         1   -2.3723634893e+04    5.6281211203e+08   -3.6644106587e+04    1.2920471695e+04   -2.2824518222e+04   -2.7359206770e+03   -1.5315087603e+04    4.2314199145e+03    2.7734323111e-02    2.2937600000e+05    5.3759634470e+01    2.5268516001e-01
         2   -2.3731191899e+04    5.6317066237e+08   -3.7250207194e+04    1.3519015295e+04   -2.3556473957e+04   -2.8832527515e+03   -1.5315087603e+04    4.5046071178e+03    2.7734323111e-02    2.2937600000e+05    5.3579709106e+01    2.4583097327e-01
         3   -2.3733268476e+04    5.6326919683e+08   -3.7627019649e+04    1.3893751173e+04   -2.4009980411e+04   -2.9756592480e+03   -1.5315087603e+04    4.6737076140e+03    2.7734323111e-02    2.2937600000e+05    5.3513176334e+01    2.4221881287e-01
