#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         IonIon              ElecElec            KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3704904360e+04    5.6192408224e+08   -3.5586216264e+04    1.1881311904e+04   -2.1564526969e+04   -2.4753689593e+03   -1.5315087603e+04    3.7687672679e+03    2.7734323111e-02    1.1200000000e+02    5.3679591722e+01    2.6681024461e-01
         1   -2.3726388860e+04    5.6294295400e+08   -3.6654224787e+04    1.2927835927e+04   -2.2814544866e+04   -2.7557347643e+03   -1.5315087603e+04    4.2311424466e+03    2.7734323111e-02    1.1200000000e+02    5.3772965064e+01    2.5291166760e-01
         2   -2.3729484254e+04    5.6308979527e+08   -3.7262135778e+04    1.3532651524e+04   -2.3546937501e+04   -2.9070827017e+03   -1.5315087603e+04    4.5069720285e+03    2.7734323111e-02    1.1200000000e+02    5.3589526501e+01    2.4586065383e-01
         3   -2.3731596447e+04    5.6318990317e+08   -3.7615685792e+04    1.3884089344e+04   -2.4008291972e+04   -2.9671015300e+03   -1.5315087603e+04    4.6747953140e+03    2.7734323111e-02    1.1200000000e+02    5.3525271944e+01    2.4232119606e-01
