# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         1   -2.3733882383e+04    1.1743921214e+03    3.5833054662e+03    3.5840000000e+03    0.0000000000e+00   -2.3733489858e+04    9.9802277088e-01    9.8409598214e-01
         2   -2.3734669682e+04    1.1612838062e+03    3.5855906094e+03    3.5720000000e+03    1.7578125000e-01   -2.3730528550e+04    9.9799940977e-01    9.8572228443e-01
         3   -2.3735508981e+04    1.1693106759e+03    3.5858144191e+03    3.5750000000e+03    1.7578125000e-01   -2.3732155364e+04    9.9800017382e-01    9.8909090909e-01
         4   -2.3735291958e+04    1.1429342654e+03    3.5835148873e+03    3.5830000000e+03    1.6406250000e-01   -2.3735229925e+04    9.9800481048e-01    9.8520792632e-01
         5   -2.3735757126e+04    1.1846114622e+03    3.5848642653e+03    3.5620000000e+03    1.5625000000e-01   -2.3729134648e+04    9.9801526013e-01    9.9241998877e-01
         6   -2.3736018641e+04    1.2095950419e+03    3.5842275524e+03    3.5910000000e+03    1.7187500000e-01   -2.3737708346e+04    9.9802342985e-01    9.8746867168e-01
         7   -2.3735777218e+04    1.1441727032e+03    3.5834045658e+03    3.5850000000e+03    1.5234375000e-01   -2.3736297620e+04    9.9802695863e-01    9.8772663877e-01
         8   -2.3736595216e+04    1.0996343852e+03    3.5853953769e+03    3.5770000000e+03    1.5234375000e-01   -2.3733822183e+04    9.9803286259e-01    9.8993570031e-01
         9   -2.3735961984e+04    1.1323459948e+03    3.5826802899e+03    3.5810000000e+03    1.4062500000e-01   -2.3735757812e+04    9.9804111807e-01    9.9078469701e-01
        10   -2.3736295983e+04    1.1432206531e+03    3.5843567979e+03    3.5930000000e+03    1.4453125000e-01   -2.3738469997e+04    9.9804191618e-01    9.8469245756e-01
        11   -2.3737532894e+04    1.1073304327e+03    3.5862008881e+03    3.5700000000e+03    1.7187500000e-01   -2.3732382084e+04    9.9804553019e-01    9.9075630252e-01
        12   -2.3737307529e+04    1.1191448541e+03    3.5839871058e+03    3.6040000000e+03    2.2265625000e-01   -2.3743097739e+04    9.9804824234e-01    9.8362930078e-01
        13   -2.3737759651e+04    1.1270999367e+03    3.5848414216e+03    3.5750000000e+03    1.5234375000e-01   -2.3734793210e+04    9.9805150916e-01    9.8741258741e-01
        14   -2.3737306228e+04    1.1012848679e+03    3.5832586115e+03    3.5770000000e+03    1.6015625000e-01   -2.3735804616e+04    9.9805600212e-01    9.9049482807e-01
        15   -2.3737777110e+04    1.1217271651e+03    3.5848792499e+03    3.6040000000e+03    1.8750000000e-01   -2.3742871072e+04    9.9805824027e-01    9.8390677026e-01
        16   -2.3737997029e+04    1.0895106370e+03    3.5843134971e+03    3.5790000000e+03    1.7187500000e-01   -2.3736381047e+04    9.9805933610e-01    9.9077954736e-01
        17   -2.3737910235e+04    1.0765290056e+03    3.5837063124e+03    3.5930000000e+03    1.6796875000e-01   -2.3740505042e+04    9.9806132468e-01    9.8497077651e-01
        18   -2.3737958908e+04    1.0981422623e+03    3.5841565827e+03    3.5710000000e+03    1.7968750000e-01   -2.3734276409e+04    9.9806355405e-01    9.8851862223e-01
        19   -2.3738453076e+04    1.1014259429e+03    3.5851263830e+03    3.5880000000e+03    1.9531250000e-01   -2.3739074357e+04    9.9806442791e-01    9.8913043478e-01
        20   -2.3738733008e+04    1.1226066515e+03    3.5846755188e+03    3.5900000000e+03    1.1718750000e-01   -2.3740125784e+04    9.9806415443e-01    9.8857938719e-01
        21   -2.3738552751e+04    1.1533106427e+03    3.5834416497e+03    3.5860000000e+03    1.3281250000e-01   -2.3739290888e+04    9.9806556797e-01    9.9135527050e-01
        22   -2.3738465503e+04    1.1194131343e+03    3.5837441379e+03    3.6070000000e+03    1.6406250000e-01   -2.3744949658e+04    9.9806730527e-01    9.8641530358e-01
        23   -2.3738506771e+04    1.1308197482e+03    3.5839417732e+03    3.5870000000e+03    1.5234375000e-01   -2.3739302206e+04    9.9806818083e-01    9.8494563702e-01
        24   -2.3739314270e+04    1.1349117631e+03    3.5856450964e+03    3.5720000000e+03    1.9140625000e-01   -2.3735152939e+04    9.9806935833e-01    9.8628219485e-01
        25   -2.3739813278e+04    1.2068235827e+03    3.5851182339e+03    3.5730000000e+03    1.6015625000e-01   -2.3736240354e+04    9.9807180295e-01    9.9104394067e-01
        26   -2.3739540281e+04    1.1636281710e+03    3.5837381860e+03    3.5950000000e+03    1.6015625000e-01   -2.3742877774e+04    9.9807287564e-01    9.8831710709e-01
        27   -2.3740031726e+04    1.1539059655e+03    3.5846049969e+03    3.5900000000e+03    1.4843750000e-01   -2.3741212988e+04    9.9807208135e-01    9.8607242340e-01
        28   -2.3739821648e+04    1.1160865157e+03    3.5835233442e+03    3.5770000000e+03    1.7578125000e-01   -2.3738076691e+04    9.9807302954e-01    9.8965613643e-01
        29   -2.3740574655e+04    1.1420814477e+03    3.5853567077e+03    3.5950000000e+03    1.8750000000e-01   -2.3742886144e+04    9.9807436100e-01    9.8748261474e-01
        30   -2.3740720340e+04    1.1569934078e+03    3.5844271200e+03    3.6010000000e+03    1.6015625000e-01   -2.3745306745e+04    9.9807535592e-01    9.8583726743e-01
        31   -2.3740483028e+04    1.0986140776e+03    3.5835466954e+03    3.5870000000e+03    1.6796875000e-01   -2.3741557043e+04    9.9807558175e-01    9.9080011151e-01
        32   -2.3740825550e+04    1.0882185741e+03    3.5844684042e+03    3.5950000000e+03    1.3281250000e-01   -2.3743547525e+04    9.9807652703e-01    9.8442280946e-01
