#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         IonIon              ElecElec            KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3699012811e+04    5.6164448710e+08   -3.5618539205e+04    1.1919526394e+04   -2.1581289664e+04   -2.4954263376e+03   -1.5315087603e+04    3.7732643996e+03    2.7734323111e-02    3.5840000000e+03    5.3698553901e+01    2.6689402262e-01
         1   -2.3723853092e+04    5.6282244520e+08   -3.6641223002e+04    1.2917369910e+04   -2.2820557739e+04   -2.7366731831e+03   -1.5315087603e+04    4.2310955236e+03    2.7734323111e-02    3.5840000000e+03    5.3780758714e+01    2.5272905259e-01
         2   -2.3731290401e+04    5.6317533399e+08   -3.7248811978e+04    1.3517521577e+04   -2.3551639242e+04   -2.8870582934e+03   -1.5315087603e+04    4.5049731608e+03    2.7734323111e-02    3.5840000000e+03    5.3598275737e+01    2.4587821960e-01
         3   -2.3733489858e+04    5.6327970747e+08   -3.7622123691e+04    1.3888633832e+04   -2.4004479510e+04   -2.9750431504e+03   -1.5315087603e+04    4.6724865737e+03    2.7734323111e-02    3.5840000000e+03    5.3534707595e+01    2.4230444772e-01
