#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         IonIon              ElecElec            KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3698448508e+04    5.6161777055e+08   -3.5610666201e+04    1.1912217693e+04   -2.1579505052e+04   -2.4878320578e+03   -1.5315087603e+04    3.7717585122e+03    2.7734323111e-02    5.7344000000e+04    5.3719139568e+01    2.6702716123e-01
         1   -2.3723677236e+04    5.6281418593e+08   -3.6642939713e+04    1.2919262477e+04   -2.2823247869e+04   -2.7356940038e+03   -1.5315087603e+04    4.2310897628e+03    2.7734323111e-02    5.7344000000e+04    5.3776263344e+01    2.5269678661e-01
         2   -2.3731394554e+04    5.6318027623e+08   -3.7250383278e+04    1.3518988724e+04   -2.3556108105e+04   -2.8835686193e+03   -1.5315087603e+04    4.5043810501e+03    2.7734323111e-02    5.7344000000e+04    5.3596077253e+01    2.4581927458e-01
         3   -2.3733392247e+04    5.6327507069e+08   -3.7626960398e+04    1.3893568150e+04   -2.4008285917e+04   -2.9766358570e+03   -1.5315087603e+04    4.6730489800e+03    2.7734323111e-02    5.7344000000e+04    5.3528048091e+01    2.4220629874e-01
