#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         IonIon              ElecElec            KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3698314185e+04    5.6161139514e+08   -3.5610183914e+04    1.1911869729e+04   -2.1580062466e+04   -2.4868443657e+03   -1.5315087603e+04    3.7718105213e+03    2.7734323111e-02    1.1468800000e+05    5.3705882299e+01    2.6702164866e-01
         1   -2.3723494650e+04    5.6280549213e+08   -3.6642973374e+04    1.2919478724e+04   -2.2823416852e+04   -2.7354857602e+03   -1.5315087603e+04    4.2310168414e+03    2.7734323111e-02    1.1468800000e+05    5.3766877008e+01    2.5268310876e-01
         2   -2.3731314873e+04    5.6317649439e+08   -3.7250223351e+04    1.3518908478e+04   -2.3556475744e+04   -2.8832364788e+03   -1.5315087603e+04    4.5045764754e+03    2.7734323111e-02    1.1468800000e+05    5.3587519048e+01    2.4582170078e-01
         3   -2.3733363815e+04    5.6327372971e+08   -3.7627736382e+04    1.3894372567e+04   -2.4010072184e+04   -2.9765705722e+03   -1.5315087603e+04    4.6739939775e+03    2.7734323111e-02    1.1468800000e+05    5.3520132654e+01    2.4221312262e-01
