#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         IonIon              ElecElec            KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3702331523e+04    5.6180225625e+08   -3.5575862559e+04    1.1873531035e+04   -2.1519693376e+04   -2.4986522455e+03   -1.5315087603e+04    3.7575706667e+03    2.7734323111e-02    5.6000000000e+01    5.3713692527e+01    2.6663760231e-01
         1   -2.3726095727e+04    5.6292925383e+08   -3.6594396043e+04    1.2868300316e+04   -2.2768798425e+04   -2.7214509275e+03   -1.5315087603e+04    4.2109409124e+03    2.7734323111e-02    5.6000000000e+01    5.3842434521e+01    2.5372488839e-01
         2   -2.3731938670e+04    5.6320590470e+08   -3.7181651421e+04    1.3449712752e+04   -2.3479994313e+04   -2.8658362429e+03   -1.5315087603e+04    4.4792667381e+03    2.7734323111e-02    5.6000000000e+01    5.3666729076e+01    2.4696451823e-01
         3   -2.3729228994e+04    5.6307729986e+08   -3.7534047608e+04    1.3804818614e+04   -2.3937656717e+04   -2.9285201939e+03   -1.5315087603e+04    4.6472169060e+03    2.7734323111e-02    5.6000000000e+01    5.3585397383e+01    2.4295247396e-01
