#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         IonIon              ElecElec            KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3715646793e+04    5.6243496186e+08   -3.5533870756e+04    1.1818223963e+04   -2.1585311294e+04   -2.4168553917e+03   -1.5315087603e+04    3.7833835325e+03    2.7734323111e-02    1.4000000000e+01    5.3659642221e+01    2.6603887649e-01
         1   -2.3729645152e+04    5.6309967086e+08   -3.6697633718e+04    1.2967988566e+04   -2.2798968651e+04   -2.7958597135e+03   -1.5315087603e+04    4.2122822505e+03    2.7734323111e-02    1.4000000000e+01    5.3803624970e+01    2.5234375000e-01
         2   -2.3731267466e+04    5.6317490380e+08   -3.7261919918e+04    1.3530652451e+04   -2.3516532262e+04   -2.9078977664e+03   -1.5315087603e+04    4.4775977143e+03    2.7734323111e-02    1.4000000000e+01    5.3664835551e+01    2.4646577381e-01
         3   -2.3727687194e+04    5.6300484404e+08   -3.7574654046e+04    1.3846966852e+04   -2.4000777129e+04   -2.9391370463e+03   -1.5315087603e+04    4.6803477327e+03    2.7734323111e-02    1.4000000000e+01    5.3537892082e+01    2.4176432292e-01
