#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         IonIon              ElecElec            KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3705908368e+04    5.6197213115e+08   -3.5512849889e+04    1.1806941521e+04   -2.1598287673e+04   -2.3959264560e+03   -1.5315087603e+04    3.7964518429e+03    2.7734323111e-02    2.8000000000e+01    5.3707988003e+01    2.6618536086e-01
         1   -2.3728528020e+04    5.6304571286e+08   -3.6658851608e+04    1.2930323587e+04   -2.2810122788e+04   -2.7531338702e+03   -1.5315087603e+04    4.2194926541e+03    2.7734323111e-02    2.8000000000e+01    5.3819814831e+01    2.5289015997e-01
         2   -2.3730107466e+04    5.6311926407e+08   -3.7255266204e+04    1.3525158737e+04   -2.3539962902e+04   -2.8997683120e+03   -1.5315087603e+04    4.4995526134e+03    2.7734323111e-02    2.8000000000e+01    5.3668339354e+01    2.4639601935e-01
         3   -2.3731968217e+04    5.6320764484e+08   -3.7590861936e+04    1.3858893719e+04   -2.4004276442e+04   -2.9584149479e+03   -1.5315087603e+04    4.6869170575e+03    2.7734323111e-02    2.8000000000e+01    5.3547286267e+01    2.4225725446e-01
